timestamp,sleep_stage,slow_delta,delta,theta,alpha,beta,gamma,theta_to_alpha,delta_to_beta,theta_to_beta,slow_delta_to_gamma,spectral_entropy,spectral_edge_95,spectral_edge_50,variance,skewness,kurtosis,zero_crossings,hjorth_activity,hjorth_mobility,hjorth_complexity,spindle_density
0,5.0,26.338309860174732,0.27267433402745306,0.05333012563333897,0.04796866176174526,0.18683060343047264,12.071692487315072,1.1117701364476715,1.459473603462709,0.28544641324170916,2.1818241218149677,5.453556000178676,48.0,3.0,19.25685889492151,-0.5644792138336386,3.2795669190691266,1422.0,19.25685889492151,0.9414483151129718,1.6783072254937588,0.0
30,5.0,20.115007281413245,0.255817252572905,0.055991832939705534,0.08500750363316899,0.2828320891558958,11.96340622543778,0.658669300308689,0.9044845418194271,0.197968459330813,1.6813779372027498,5.98398343756715,45.5,11.5,21.582931917253603,-0.31349946001227286,5.99647711396746,1299.0,21.582931917253603,0.9242128198143201,1.6141740844357364,2.0
60,5.0,2.4229801934921325,0.22444078522247282,0.09719125390953036,0.09790284560368213,0.38753216032813104,3.9494542221110405,0.9927316546034017,0.5791539598434385,0.25079532451313796,0.6134974751361125,6.162806898485141,37.0,15.0,8.357207664932885,-0.22669571299870048,1.2359004507129585,1150.0,8.357207664932885,0.9084197211520231,1.4852803620649615,0.0
90,5.0,13.166559759054092,0.22055229729883674,0.06271045387485862,0.06909711756314361,0.3384236365245542,16.920579107977602,0.9075697523361758,0.6517047673239716,0.18530163708029965,0.7781388376222063,6.0675826306441465,39.5,14.5,23.902610732876308,-0.35069200405392786,1.54341790635325,1277.0,23.902610732876308,0.9638100513531608,1.4713797134748763,2.0
120,5.0,7.390323560466571,0.25279099794098747,0.056493947898165836,0.08105031357001553,0.3371797936656902,5.627775076154267,0.6970231873058015,0.7497216698283456,0.1675484384269724,1.3131874426981225,6.000282990764339,37.5,13.5,11.602826264237958,-0.00238136131639121,2.6551600769806925,1224.0,11.602826264237958,0.8947555867871075,1.5200421052534918,0.0
150,5.0,53.68325695245002,0.26838130024627144,0.02990502597829069,0.05575448681627502,0.25901741383787397,21.74111162174714,0.536369854439878,1.036151570927687,0.11545565811629109,2.4692047898095955,5.409256392483627,38.0,4.5,42.242250535130516,-0.4940186670533892,3.7440053014470145,1247.0,42.242250535130516,0.8402683232998913,1.6629640210010754,0.0
180,5.0,5.150883963434398,0.16178957145219033,0.06088747200281627,0.07874610964045138,0.4452694946848099,9.58397194828589,0.7732124454083447,0.3633520225006446,0.1367429674150061,0.5374477295190642,6.22018156290243,37.5,18.0,14.526108075061531,-0.44610646246196095,2.760337089528547,1312.0,14.526108075061531,0.983188178869834,1.3681955791126457,0.0
210,5.0,11.228802079717841,0.21510933627303225,0.05991437616576192,0.05300640848756568,0.3807067153873218,9.437831718522357,1.1303232547480313,0.5650263774658898,0.15737672529517818,1.189765023841399,5.9866202533889465,38.5,15.0,16.01647046629805,-0.08109592034225223,3.1238214848361796,1168.0,16.01647046629805,0.9064517801013063,1.5109484097876833,0.0
240,5.0,5.834449765373252,0.23252431877242727,0.08182591921339877,0.09506832276639636,0.3459037731451704,5.808428039744259,0.8607064564781914,0.672222556743918,0.23655688536985284,1.004479994475354,6.0975105647873935,38.0,14.0,10.717359599085029,-0.12647629578215558,1.9106244151518368,1153.0,10.717359599085029,0.9212985502971005,1.4914787260055729,0.0
270,5.0,6.524283964162128,0.2423000002432834,0.08110675677146181,0.09052833288011497,0.29862604167723333,5.344677605207223,0.89592676887909,0.811382687459005,0.271599745003041,1.220706737799033,6.158361664017346,42.0,13.0,9.600538146745219,-0.3735879899563409,2.3351379495787308,1188.0,9.600538146745219,0.9178272141332752,1.5745717181758927,0.0
300,5.0,9.200461618211179,0.21465851810563435,0.07558935337180286,0.09726793884956822,0.3463297616114321,7.580682421619774,0.7771250657164087,0.6198096204780964,0.21825832414675608,1.2136719501466646,6.038871944323545,36.5,13.5,15.073686724064546,-0.30473869858589636,7.82690026152992,1182.0,15.073686724064546,0.8923464198875557,1.5125285849721346,2.0
330,5.0,3.7180802854794397,0.19429106663526513,0.07272060418031562,0.0779445166902089,0.39370064932496646,7.238402509492461,0.9329790890502129,0.4934994823280498,0.1847103993975137,0.5136603388043388,6.303128152602497,39.5,17.5,9.910933464797393,-0.20144145264464758,1.7892954181232152,1273.0,9.910933464797393,1.0019977856584876,1.3975103282151538,0.0
360,5.0,2.8384182959344213,0.14497857870904546,0.06414977559717179,0.06459250166746443,0.4104970590480295,10.981723799586671,0.99314585964109,0.353178117876054,0.15627341093644467,0.2584674635520706,6.484369935841849,46.0,22.0,10.873219390197324,-0.05385399753775316,0.31040974135716626,1462.0,10.873219390197324,1.126251602304387,1.320518646101125,0.0
390,5.0,4.970161826400304,0.10176961587354764,0.05012372096463977,0.1286344576424318,0.4767361644120201,17.144420223340592,0.38966014148045874,0.2134715666029455,0.10513933010797319,0.2898996735745478,6.460751062368863,42.0,20.0,22.33367883613536,-0.2500848764301058,2.3707644981483726,1354.0,22.33367883613536,1.0630659102267994,1.319988620728881,2.0
420,5.0,10.096956899153083,0.16684103352553126,0.060346860141045885,0.07580281843722482,0.38045458445635594,8.284105065375392,0.7961031183774568,0.4385307480607198,0.15861777622420908,1.2188349639881901,6.0247102707512825,40.0,16.0,13.968299504557054,-0.10732784205825084,1.1812199389565912,1261.0,13.968299504557054,0.965850925097569,1.4498183168419583,0.0
450,5.0,15.270734345379285,0.23332555907235852,0.05034754021483805,0.06461543129933502,0.293895642651807,7.195116707117714,0.7791875593982948,0.7939061531018567,0.17131094479755346,2.1223747948467033,5.742439546293089,39.0,10.0,13.618920220679966,-0.36438105898288237,3.9579200952220033,1172.0,13.618920220679966,0.8866837022198433,1.6009866704150588,0.0
480,5.0,2.592613053332273,0.20833753486384718,0.06807191443302192,0.0829051806255444,0.3601142838926814,6.329419015710758,0.8210815526462507,0.5785317166816829,0.18902864306463826,0.4096131172317679,6.532111691811371,50.5,20.0,8.033842658912503,-0.24919963506047854,0.6805914745350368,1415.0,8.033842658912503,1.0932677914824496,1.4018912342888452,0.0
510,5.0,3.6051068920229747,0.1921403534106185,0.0955334580028822,0.076019741358463,0.380128956949182,9.66173712246252,1.2566927523467586,0.505460975537649,0.2513185492868633,0.3731323721905213,6.456828829053425,47.0,19.0,12.889605292360606,-0.1742129209340649,0.5363964777312478,1410.0,12.889605292360606,1.060597026672439,1.395338935059914,0.0
540,5.0,7.233907992249627,0.19091380496762972,0.05414823920289876,0.08925228763962195,0.32150108357139123,10.213869099489566,0.6066874097428046,0.5938200980403998,0.1684231934805986,0.7082436559266571,6.369464520751092,50.0,18.5,12.943412473562294,0.12569113776626314,0.2604375742741878,1435.0,12.943412473562294,1.0776333001798923,1.4306215715898318,0.0
570,5.0,11.062464387373282,0.19312125906935493,0.06253300291249805,0.07172487492865831,0.29854949228782207,11.776452256448504,0.8718454089082625,0.6468651398077523,0.20945606851633472,0.9393715650841962,6.246322358129559,50.0,16.0,15.62228555885239,-0.1325343201521995,1.0557245086307772,1419.0,15.62228555885239,1.054197690789369,1.4776193373713826,0.0
600,5.0,12.13439211213376,0.30135968248446376,0.06486011954548535,0.07344125890891418,0.2740603327575426,12.803076735452814,0.8831564233520905,1.0996107296921742,0.23666365319126473,0.9477715679417755,5.9433695250547816,43.5,11.5,20.580264636013386,0.10713700163295274,2.6029023046073965,1294.0,20.580264636013386,0.9310145309220901,1.5942543453626996,2.0
630,5.0,18.097439288222535,0.24327315177955935,0.051191458344005264,0.07021164611871553,0.2852267880507842,9.53433167501712,0.729102095919041,0.8529113041625118,0.17947633423079218,1.8981340176630919,5.814843280693761,40.0,11.0,16.880342229296154,0.12192516556706055,1.6931020137890842,1204.0,16.880342229296154,0.9084122198550305,1.5796465859953346,0.0
660,5.0,6.52933853280882,0.2480756713095036,0.07279722572966628,0.08196417704889429,0.3085568276985792,4.813270890626426,0.8881590512887173,0.8039869775618652,0.23592809879475302,1.356528373540888,6.053182707635404,46.0,12.5,10.22667144178274,0.20985401423820155,1.7620537298841938,1268.0,10.22667144178274,0.9288817834303936,1.6014584555886424,0.0
690,5.0,3.9460736089181427,0.32549446546617883,0.07999905311882868,0.058709945380273756,0.31824350467416124,9.92916819189837,1.362615015199307,1.0227843166754904,0.2513768606223178,0.3974223754310225,6.1716561370823015,43.5,15.0,14.74672207565689,-0.011326278101182467,7.632232236175263,1428.0,14.74672207565689,0.9961743079464288,1.4778942375473534,2.0
720,5.0,8.357629645710055,0.1840859634770689,0.04507542058141202,0.07103645092067146,0.3813055682249471,15.200196914229405,0.6345393104012363,0.4827780625742572,0.11821338143863781,0.5498369325617893,6.35948476511776,46.5,20.0,18.158964806808733,-0.2754369601455817,1.0401817008205372,1449.0,18.158964806808733,1.084811642245234,1.371863390725042,0.0
750,5.0,3.140277288262787,0.1283563944527379,0.054548026599678744,0.0734330427080991,0.4010344739500933,13.189694962264301,0.7428267246796783,0.32006324341093845,0.1360182980333546,0.23808566439355175,6.690184466024964,51.5,24.5,12.747306584350628,-0.019868941000752937,0.006906765483770894,1618.0,12.747306584350628,1.2208171600221813,1.2784257761638986,0.0
780,5.0,6.1583523034621726,0.15413364746139657,0.06656312119559506,0.08974631281634947,0.3437066034718766,11.012737741764582,0.7416808457670153,0.44844540635398406,0.1936626195797005,0.5592026658413364,6.586976660379326,52.5,22.0,12.998282615106012,0.013735578311096355,0.3582044583071222,1617.0,12.998282615106012,1.1755600668204003,1.3569648889473824,0.0
810,4.0,4.317637133128752,0.14865443670282444,0.053471100554248446,0.0837024297359728,0.3278488666562219,12.506982027256173,0.6388237560301229,0.45342367115046467,0.1630967985316937,0.34521814484780616,6.675389339670723,53.0,25.0,11.963351157199696,-0.08138498060194582,-0.11836882792388037,1560.0,11.963351157199696,1.2208964566189826,1.3237058407126956,0.0
840,3.0,1.8264636064034139,0.18808810416763486,0.07586916535298108,0.067169509512682,0.34927493581903285,9.074801279072917,1.1295179300861957,0.5385101674272692,0.217219037416569,0.2012676145972729,6.730275397675802,54.0,25.0,9.681894571585204,0.03952527393530328,-0.2550956046491901,1599.0,9.681894571585204,1.2429216156027065,1.3175306200630388,0.0
870,3.0,5.558100263429288,0.47564633733283335,0.12627999309449092,0.04046243335018977,0.15323575635926126,5.460319266281256,3.120919396907942,3.104016638335526,0.8240895995377142,1.0179075603967083,5.430974883006587,48.5,3.5,13.476065136317692,0.5349350237365808,6.766384958838119,1268.0,13.476065136317692,0.8414141040228625,1.918904728009578,0.0
900,3.0,10.293202654082878,0.5496691053214103,0.11663489334564733,0.04700692006507608,0.09202233079204589,3.201422838197133,2.4812281506765266,5.973214333757185,1.2674629336154621,3.215196234296226,4.993541757386736,41.0,3.0,16.04098771975097,0.8006292695257612,3.682960787758331,939.0,16.04098771975097,0.6199879320985751,2.517270383790121,0.0
930,5.0,21.895698802095744,0.6129510794413949,0.07402305923549318,0.03475701409274463,0.054907680633624674,3.1408197779946865,2.1297301038596737,11.163303063580386,1.3481366974543045,6.971332438366877,4.382910882329651,32.5,2.0,22.268582400033964,0.7088537646747676,7.943874109210997,926.0,22.268582400033964,0.5189127626495275,2.9725119800862014,0.0
