timestamp,sleep_stage,abs_power_slow_delta,abs_power_delta,abs_power_theta,abs_power_alpha,abs_power_beta,abs_power_gamma,rel_power_slow_delta,rel_power_delta,rel_power_theta,rel_power_alpha,rel_power_beta,rel_power_gamma,ratio_slow_delta_to_delta,ratio_delta_to_theta,ratio_theta_to_alpha,ratio_alpha_to_beta,ratio_delta_to_beta,ratio_theta_to_beta,ratio_slow_delta_to_gamma,ratio_delta_to_gamma,spectral_spectral_entropy,spectral_spectral_edge_50,spectral_spectral_edge_95,time_variance,time_skewness,time_kurtosis,time_zero_crossings,time_hjorth_activity,time_hjorth_mobility,time_hjorth_complexity,time_spindle_density
15.0,5.0,22.733333418616557,16.688668816638838,2.9575452203713364,6.242075656897063,15.716598962971545,15.837979302821568,0.2835421612374446,0.20814990645281647,0.036888068647901597,0.07785446989990709,0.19602573697413894,0.1975396567877914,1.362201723112564,5.642743414749617,0.47380797396392854,0.39716453105177113,1.0618498859614165,0.18817972179098816,1.435368299441017,1.0537119980678562,4.3926651435402295,4.0,47.75,19.25685889492151,-0.5644792138336386,3.2795669190691266,1422.0,19.25685889492151,0.9414483151105274,1.6783072253149312,0.0
45.0,5.0,18.49199556018923,18.193674072206466,6.822202491287745,12.329590317283163,22.71563662573091,17.02446836080671,0.1934763151846844,0.19035506512557357,0.07137869978185414,0.1290008801137901,0.23766703042490347,0.17812200936919434,1.0163969897832157,2.6668329025961794,0.5533194790478401,0.5427798709925948,0.8009317269813021,0.3003306754577123,1.0862010588625723,1.068677957309058,4.7353457265289105,10.75,44.25,21.582931917253603,-0.31349946001227286,5.99647711396746,1299.0,21.582931917253603,0.9242128198121791,1.6141740842604442,0.0
75.0,5.0,1.8576678565251628,6.3010814523969945,3.191298368638848,5.329840912455426,10.192150546053037,4.746465871893852,0.058752551901403854,0.19928461041437687,0.10093134915250102,0.16856713848782767,0.3223476424165557,0.15011670762733484,0.29481730565298525,1.9744570154018801,0.5987605298164068,0.5229358503213182,0.6182288442330062,0.3131133468042604,0.3913791664417489,1.3275311826375977,4.920914277487247,14.75,37.0,8.357207664932885,-0.22669571299870048,1.2359004507129585,1150.0,8.357207664932885,0.9084197211465881,1.485280361899578,0.0
105.0,5.0,9.5827563484293,19.712453467887233,6.864173428413808,9.863636505116283,29.311185931898248,18.25332093831664,0.1023935207448375,0.21063120460394402,0.07334496034156754,0.10539477707493879,0.3131954330932716,0.1950401041414406,0.4861270244209617,2.8717883767332584,0.6959069735369668,0.33651441221108735,0.6725232310156264,0.23418272615576333,0.5249870081592146,1.0799379211264317,4.884545649882989,15.75,39.5,23.902610732876308,-0.35069200405392786,1.54341790635325,1277.0,23.902610732876308,0.9638100513511447,1.471379713321978,2.0
135.0,5.0,5.605571882066818,10.243438140262343,2.6581359641204907,5.99000297366735,13.193383922210302,6.7191104911321995,0.12622420393983327,0.23065796890375662,0.05985492704291947,0.1348806817315527,0.2970837619942486,0.15129845638768935,0.5472353915995368,3.8536170753275494,0.4437620441528235,0.4540156648923195,0.7764071901932956,0.2014749195333825,0.8342729129669109,1.5245229489274,4.768465019717537,13.25,38.0,11.602826264237958,-0.00238136131639121,2.6551600769806925,1224.0,11.602826264237958,0.8947555867832517,1.5200421050819768,0.0
165.0,5.0,50.95703220197004,33.187158761438596,5.620270196120242,17.090234258225124,43.13138737098129,23.469681522591692,0.2937753749740472,0.19132923540017177,0.03240174933611721,0.09852791186316948,0.24865929098537734,0.13530643744111695,1.5354442532460892,5.904904497964831,0.3288585815248527,0.3962365993745839,0.7694433400881027,0.13030580601931943,2.1711854995860156,1.4140438475635706,4.283553653169124,4.25,38.0,42.242250535130516,-0.4940186670533892,3.7440053014470145,1247.0,42.242250535130516,0.8402683232988968,1.662964020802347,0.0
195.0,5.0,3.8489912821690644,8.250145027837767,2.8403858793058623,8.293135357062914,21.94420051251481,9.592415476158065,0.07027647134494089,0.15063455283112812,0.05186093763847744,0.15141948800463623,0.40066626953655077,0.1751422806442666,0.4665361965317076,2.9045859887049894,0.3424984347871008,0.37791922983457676,0.3759601550803868,0.12943674469584993,0.40125360413084704,0.8600696089798742,4.972655645074276,18.25,37.75,14.526108075061531,-0.44610646246196095,2.760337089528547,1312.0,14.526108075061531,0.9831881788664498,1.368195578973324,0.0
225.0,5.0,11.5014915006718,10.532051899658956,4.7067561110289144,8.063268086335897,22.127521877878618,10.699280790206565,0.17006400313161174,0.15572962055758413,0.06959530300561452,0.11922554992155211,0.3271832135610025,0.15820230982263495,1.0920466030873843,2.2376455569381193,0.5837280939408008,0.36439995995938834,0.47597069196169184,0.2127104940618359,1.0749780032964487,0.9843700811367512,4.787262725725159,15.75,38.75,16.01647046629805,-0.08109592034225223,3.1238214848361796,1168.0,16.01647046629805,0.9064517800984766,1.5109484096199712,0.0
255.0,5.0,2.699543915602693,11.28628092640602,3.179951472457896,6.484417633319063,14.309195783233353,6.4082115832519575,0.060844937198224786,0.254381138309944,0.07167282833104287,0.14615208939035723,0.3225145231962485,0.14443448357418268,0.23918808447012593,3.5491991069057223,0.49039893051755695,0.4531643658738525,0.7887432038320228,0.2222313203766313,0.42126323085459616,1.7612216418894333,4.839903051044169,14.0,37.75,10.717359599085029,-0.12647629578215558,1.9106244151518368,1153.0,10.717359599085029,0.9212985502928023,1.4914787258424447,0.0
285.0,5.0,5.291532856627317,7.4150116606108885,3.8093435375697644,5.800788998926878,9.909843771909951,6.96740762411559,0.13500899414586923,0.18918776335767437,0.09719218481639733,0.14800223474313,0.25284129873872174,0.17776752419820743,0.7136243473041295,1.9465326734870356,0.6566940356232244,0.5853562510552415,0.7482470794902297,0.38439995878937444,0.7594693955089289,1.0642425505348112,4.864499946945211,12.0,42.25,9.600538146745219,-0.3735879899563409,2.3351379495787308,1188.0,9.600538146745219,0.9178272141284951,1.5745717180028045,0.0
